"","reads.in","reads.out"
"Blank-14_S404_L001_R1_001.fastq.gz",61868,25499
"Blank-15_S405_L001_R1_001.fastq.gz",70043,42537
"Blank-4_S190_L001_R1_001.fastq.gz",70248,59849
"Blank-5_S191_L001_R1_001.fastq.gz",184,173
"Blank-6_S192_L001_R1_001.fastq.gz",55980,40164
"Blank-7_S286_L001_R1_001.fastq.gz",1,1
"Blank-8_S287_L001_R1_001.fastq.gz",19776,18995
"Blank-9_S288_L001_R1_001.fastq.gz",22643,21466
"T0-PEroot-25-1_S63_L001_R1_001.fastq.gz",75469,69461
"T0-PEroot-25-3_S64_L001_R1_001.fastq.gz",58344,55484
"T0-PEroot-25-6_S65_L001_R1_001.fastq.gz",42927,39537
"T0-PEroot-50-2_S66_L001_R1_001.fastq.gz",8373,8129
"T0-PEroot-50-4_S42_L001_R1_001.fastq.gz",57227,54109
"T0-PEroot-50-5_S43_L001_R1_001.fastq.gz",171,132
"T0-PEroot-50-6_S67_L001_R1_001.fastq.gz",48115,45367
"T0-PEroot-noAs-2_S11_L001_R1_001.fastq.gz",272269,263510
"T0-PEshoot-25-1_S51_L001_R1_001.fastq.gz",40640,37268
"T0-PEshoot-25-2_S52_L001_R1_001.fastq.gz",298481,277674
"T0-PEshoot-25-3_S53_L001_R1_001.fastq.gz",4161,4020
"T0-PEshoot-25-5_S75_L001_R1_001.fastq.gz",54,50
"T0-PEshoot-50-1_S41_L001_R1_001.fastq.gz",34215,32561
"T0-PEshoot-50-2_S54_L001_R1_001.fastq.gz",316,296
"T0-PEshoot-50-5_S55_L001_R1_001.fastq.gz",81373,77394
"T0-PEshoot-50-6_S56_L001_R1_001.fastq.gz",35183,33255
"T0-PEshoot-noAs-0_S59_L001_R1_001.fastq.gz",44198,39947
"T0-PEshoot-noAs-1_S57_L001_R1_001.fastq.gz",197,193
"T0-PEshoot-noAs-3_S3_L001_R1_001.fastq.gz",271,257
"T0-PEsoilB-25-1_S38_L001_R1_001.fastq.gz",32118,29335
"T0-PEsoilB-25-2_S39_L001_R1_001.fastq.gz",53972,50131
"T0-PEsoilB-25-4_S40_L001_R1_001.fastq.gz",10852,10504
"T0-PEsoilB-25-5_S76_L001_R1_001.fastq.gz",90,84
"T0-PEsoilB-25-5repeat_S408_L001_R1_001.fastq.gz",54358,49375
"T0-PEsoilB-50-3repeat_S410_L001_R1_001.fastq.gz",133637,77618
"T0-PEsoilB-noAs-2_S15_L001_R1_001.fastq.gz",55840,42748
"T0-PEsoilB-noAs-3_S16_L001_R1_001.fastq.gz",47361,31920
"T0-PEsoilR-25-1_S80_L001_R1_001.fastq.gz",57986,12061
"T0-PEsoilR-25-2_S81_L001_R1_001.fastq.gz",121,71
"T0-PEsoilR-25-6repeat_S409_L001_R1_001.fastq.gz",127898,78216
