#OTU Table	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
sp7	205	166	163	265	253	200	183	202	221	154	203	375	387	518	193	387	0	80	190	121	240	157	249	218	195	453
sp8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	94	0	146	206	208	85	0	0	255	257	431	175	116	410	240	239	0	0	385	154	288	237	262	243	264	530
sp12	22	148	40	0	0	246	0	0	0	0	0	4161	3057	0	0	0	0	0	0	49	87	485	354	216	2338	3514
sp15	516	438	2531	2954	2334	618	1013	1132	558	287	546	251	145	231	140	1493	0	163	657	66	216	93	183	89	0	0
sp16	97	142	138	130	218	134	253	285	536	359	492	293	186	608	138	634	0	0	96	170	122	84	134	131	0	39
sp18	0	46	0	0	0	23	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	356	275
sp19	131	142	74	302	138	111	94	103	169	187	142	277	270	278	128	225	0	0	223	0	73	158	200	185	206	372
sp20	146	147	170	211	175	143	417	436	69	64	127	307	305	404	0	227	0	0	0	58	44	58	55	102	102	144
sp21	0	0	0	0	0	0	78	0	5410	4563	4877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp22	77	66	60	113	67	0	0	0	173	104	92	70	61	197	99	311	0	154	141	129	127	117	157	171	117	280
sp25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp26	171	146	0	0	0	0	0	107	284	0	284	396	478	0	0	0	0	0	0	0	147	134	0	0	74	100
sp27	99	115	109	116	117	111	156	115	213	191	348	145	109	473	214	260	0	0	95	78	117	78	93	69	59	69
sp28	237	240	0	0	124	257	122	133	0	0	237	448	332	219	0	168	0	0	0	63	0	0	0	0	189	226
sp29	105	134	147	124	138	159	73	73	0	0	0	215	182	247	94	184	0	0	69	232	385	140	133	0	73	156
sp30	0	0	99	155	147	45	46	42	82	58	109	98	69	82	0	102	0	235	173	55	102	70	114	132	204	277
sp31	54	62	89	176	116	60	131	93	46	56	61	204	128	167	46	145	0	112	28	35	58	64	60	62	70	84
sp32	125	97	115	112	134	100	63	72	0	0	0	138	78	312	97	343	0	0	137	47	28	0	0	26	78	96
sp33	47	58	58	78	94	55	79	87	82	87	190	66	50	310	159	251	0	128	82	176	336	102	139	118	49	92
sp34	60	60	0	239	0	80	113	115	76	183	110	146	192	130	0	0	0	0	55	0	74	143	72	66	72	122
sp37	0	0	0	35	40	0	38	0	26	29	16	43	0	73	0	97	0	0	0	0	0	0	0	25	0	0
sp38	35	46	63	120	84	32	53	51	58	106	94	59	58	137	72	116	0	0	99	47	0	62	90	108	76	210
sp39	51	57	0	132	0	0	0	0	114	86	71	95	0	0	0	115	0	0	0	0	0	0	78	92	102	236
sp41	63	0	118	170	137	85	79	0	0	104	134	109	89	106	43	113	0	0	0	22	46	79	89	0	93	129
sp42	0	0	117	108	0	0	0	0	0	111	122	79	0	134	75	139	0	0	0	0	0	119	107	98	145	104
sp43	59	68	64	54	86	70	39	31	46	30	30	73	78	36	21	40	0	0	111	0	31	63	113	95	171	307
sp44	173	143	40	179	0	153	77	60	78	79	75	111	64	115	45	207	0	0	0	78	74	33	51	0	80	94
sp45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp47	639	994	0	0	0	787	0	32	0	0	0	162	52	3515	1118	1648	0	70	132	323	589	246	275	282	0	0
sp48	0	0	129	134	0	0	0	84	145	111	134	0	0	172	173	166	0	0	164	157	169	138	140	141	0	81
sp50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp51	55	58	63	71	111	52	118	124	42	37	38	88	84	208	68	142	0	0	0	86	71	57	65	69	69	112
sp55	38	44	107	65	124	46	86	76	20	27	66	60	68	151	33	141	0	0	37	101	149	32	54	45	50	95
sp58	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp59	52	46	49	75	93	46	0	30	109	60	43	47	58	45	35	60	0	0	87	24	25	67	91	105	148	245
sp62	0	0	0	10	0	0	0	0	0	14	0	0	0	74	45	252	0	0	0	47	0	0	59	0	129	175
sp63	0	53	0	20	0	0	0	0	27	82	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp65	0	0	0	0	64	0	34	0	0	37	0	0	0	0	0	0	0	0	0	0	91	64	0	0	210	244
sp66	90	64	0	84	52	59	78	98	78	85	95	175	0	191	78	151	0	0	66	69	125	0	41	34	85	93
sp68	348	340	0	272	207	502	293	727	437	214	0	148	0	0	0	0	0	0	0	0	366	0	159	0	0	0
sp69	0	0	0	70	44	0	0	0	0	0	0	0	0	2378	1203	1395	0	157	216	0	0	66	0	43	0	0
sp70	124	117	48	95	65	112	101	121	73	58	102	222	129	113	53	61	0	0	30	0	24	30	18	23	28	50
sp71	30	34	124	157	20	28	24	22	100	103	44	56	41	36	99	26	0	0	104	0	50	99	89	88	25	35
sp72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp73	28	32	0	0	40	0	0	0	99	26	29	32	0	0	0	39	0	0	66	0	43	30	95	76	123	326
sp74	0	0	0	44	34	0	0	0	0	0	54	83	0	94	37	65	0	0	37	0	19	24	0	0	0	74
sp75	0	26	34	92	56	0	26	33	88	48	58	45	43	71	28	82	0	171	0	22	45	37	22	25	88	160
sp76	0	0	65	104	0	0	0	63	30	52	49	0	0	135	91	95	0	0	136	112	198	81	93	66	0	92
sp77	0	0	16	0	42	0	33	34	54	32	48	14	0	106	28	99	0	466	37	53	64	0	38	43	51	91
sp78	59	79	88	3129	256	95	930	1852	0	4	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
sp79	0	40	0	87	45	0	54	51	47	72	31	0	46	80	0	70	0	68	0	0	56	44	45	35	47	65
sp80	0	0	0	57	0	0	0	0	60	0	45	38	0	62	0	70	0	0	54	38	52	0	0	0	0	166
sp81	57	63	35	65	46	48	79	71	32	64	49	49	69	98	0	77	0	0	0	21	5	35	41	50	44	49
sp82	0	0	0	59	0	0	0	0	0	0	0	0	0	105	40	70	0	0	48	44	99	63	45	50	66	90
