"","taxon","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","KO","threshold","Where_Enriched"
"1","sp113",8.16581226318648,4.7873884340968,1.07651259368015,4.44712719776988,8.70263109057846e-06,0.000758869431098442,"PE vs. PV","K00152","Enriched","PE"
"2","sp626",8.16581226318648,4.7873884340968,1.07651259368015,4.44712719776988,8.70263109057846e-06,0.000758869431098442,"PE vs. PV","K00968","Enriched","PE"
"3","sp850",39.7982159074947,-2.07522866049469,0.527052171954063,-3.93742549774666,8.23604908753717e-05,0.00408058795700705,"PE vs. PV","K01361","Enriched","PV"
"4","sp1809",49.0709431736245,-2.195151081553,0.471502979004315,-4.65564626163881,3.22966033541384e-06,0.000406191896030894,"PE vs. PV","K02773","Enriched","PV"
"5","sp1810",43.4059796964218,-2.06643504024406,0.566049460335405,-3.65062628806256,0.000261601642900944,0.0089108059613134,"PE vs. PV","K02774","Enriched","PV"
"6","sp2626",11.7510826841841,-3.42750160428036,0.856842672067417,-4.00015278885489,6.33016006267283e-05,0.00363844467817255,"PE vs. PV","K04036","Enriched","PV"
"7","sp2799",200.506912958587,-2.15666635140096,0.521259101733049,-4.1374171582436,3.51237197110431e-05,0.00225205026382571,"PE vs. PV","K05296","Enriched","PV"
"8","sp3101",7.97853247564064,-5.35484610789012,0.926388925471651,-5.78034339644531,7.45483032644285e-09,4.4322354849942e-06,"PE vs. PV","K06120","Enriched","PV"
"9","sp3102",7.97853247564064,-5.35484610789012,0.926388925471651,-5.78034339644531,7.45483032644285e-09,4.4322354849942e-06,"PE vs. PV","K06121","Enriched","PV"
"10","sp3105",5.65821030698299,-5.75517784091969,1.538951472806,-3.73967466981021,0.000184258574629958,0.00713047975195224,"PE vs. PV","K06129","Enriched","PV"
"11","sp3231",21.9328482952204,2.44291285245306,0.561616190476218,4.34979064685014,1.36267563512575e-05,0.00109494941861048,"PE vs. PV","K06325","Enriched","PE"
"12","sp3353",81.3952064412546,4.29274794887036,0.707006658566992,6.07172209321364,1.26545791812322e-09,1.27334998124605e-06,"PE vs. PV","K06610","Enriched","PE"
"13","sp3933",44.1061460525903,3.41832815004824,0.947535692078612,3.60759829801181,0.000309044469265092,0.00971707129323895,"PE vs. PV","K07656","Enriched","PE"
"14","sp3949",44.1061460525903,3.41832815004824,0.947535692078612,3.60759829801181,0.000309044469265092,0.00971707129323895,"PE vs. PV","K07672","Enriched","PE"
"15","sp4084",147.480676340389,-3.76975607821672,0.622092536780803,-6.0597995560667,1.36291282396366e-09,1.27334998124605e-06,"PE vs. PV","K08138","Enriched","PV"
"16","sp4311",214.998999151484,-2.14032333472057,0.403722263465159,-5.30147462354471,1.14871017345326e-07,3.41480206108379e-05,"PE vs. PV","K09021","Enriched","PV"
"17","sp4351",212.425592213696,-2.1550520773983,0.576128782969062,-3.74057353339006,0.000183600820306953,0.00713047975195224,"PE vs. PV","K09155","Enriched","PV"
"18","sp4881",8.16581226318648,4.7873884340968,1.07651259368015,4.44712719776988,8.70263109057846e-06,0.000758869431098442,"PE vs. PV","K11009","Enriched","PE"
