SampleID,Timepoint,Fern.type,Arsenic.concentration,Sample.type,Replicates
Blank-5,NA,NA,NA,NA,NA
Blank-7,NA,NA,NA,NA,NA
T0-PEroot-50-2,T0,PE,50,root,2
T0-PEroot-50-5,T0,PE,50,root,5
T0-PEshoot-25-1,T0,PE,25,shoot,1
T0-PEshoot-25-2,T0,PE,25,shoot,2
T0-PEshoot-25-3,T0,PE,25,shoot,3
T0-PEshoot-25-5,T0,PE,25,shoot,5
T0-PEshoot-50-2,T0,PE,50,shoot,2
T0-PEshoot-50-5,T0,PE,50,shoot,5
T0-PEshoot-50-6,T0,PE,50,shoot,6
T0-PEshoot-noAs-0,T0,PE,0,shoot,0
T0-PEshoot-noAs-1,T0,PE,0,shoot,1
T0-PEshoot-noAs-3,T0,PE,0,shoot,3
T0-PEsoilB-25-4,T0,PE,25,soilB,4
T0-PEsoilB-25-5,T0,PE,25,soilB,5
T0-PEsoilR-25-2,T0,PE,25,soilR,2
T0-PEsoilR-50-3,T0,PE,50,soilR,3
T0-PEsoilR-50-4,T0,PE,50,soilR,4
T0-PEsoilR-noAs-3,T0,PE,0,soilR,3
T0-PVroot-25-2,T0,PV,25,root,2
T0-PVroot-25-3,T0,PV,25,root,3
T0-PVroot-50-1,T0,PV,50,root,1
T0-PVroot-50-5,T0,PV,50,root,5
T0-PVshoot-25-2,T0,PV,25,shoot,2
T0-PVshoot-25-3,T0,PV,25,shoot,3
T0-PVshoot-25-6,T0,PV,25,shoot,6
T0-PVshoot-50-1,T0,PV,50,shoot,1
T0-PVshoot-50-2,T0,PV,50,shoot,2
T0-PVshoot-50-3,T0,PV,50,shoot,3
T0-PVshoot-50-4,T0,PV,50,shoot,4
T0-PVshoot-50-5,T0,PV,50,shoot,5
T0-PVshoot-50-6,T0,PV,50,shoot,6
T0-PVshoot-noAs-2,T0,PV,0,shoot,2
T0-PVshoot-noAs-3,T0,PV,0,shoot,3
T0-PVsoilB-50-2,T0,PV,50,soilB,2
T0-PVsoilB-50-3,T0,PV,50,soilB,3
T0-PVsoilB-noAs-3,T0,PV,0,soilB,3
T0-PVsoilR-25-1,T0,PV,25,soilR,1
T0-PVsoilR-25-3,T0,PV,25,soilR,3
T0-PVsoilR-25-6,T0,PV,25,soilR,6
T0-PVsoilR-50-4,T0,PV,50,soilR,4
T0-Soil-25-1,T0,Soil,25,soil,1
T0-Soil-25-3,T0,Soil,25,soil,3
T0-Soil-50-1,T0,Soil,50,soil,1
T0-Soil-50-2,T0,Soil,50,soil,2
T12-NC-1repeat,T12,Soil,0,soil,4
T12-PEroot-noAs-1,T12,PE,0,root,1
T12-PEshoot-noAs-1,T12,PE,0,shoot,1
T12-PEshoot-noAs-2,T12,PE,0,shoot,2
T12-PEshoot-noAs-3,T12,PE,0,shoot,3
T12-PEsoilB-noAs-3,T12,PE,0,soilB,3
T12-PVshoot-25-1,T12,PV,25,shoot,1
T12-PVshoot-25-2,T12,PV,25,shoot,2
T12-PVshoot-25-3,T12,PV,25,shoot,3
T12-PVshoot-25-4,T12,PV,25,shoot,4
T12-PVshoot-25-5,T12,PV,25,shoot,5
T12-PVshoot-25-6,T12,PV,25,shoot,6
T12-PVshoot-50-1,T12,PV,50,shoot,1
T12-PVshoot-50-2,T12,PV,50,shoot,2
T12-PVshoot-50-3,T12,PV,50,shoot,3
T12-PVshoot-50-4,T12,PV,50,shoot,4
T12-PVshoot-50-5,T12,PV,50,shoot,5
T12-PVshoot-50-6,T12,PV,50,shoot,6
T12-PVshoot-noAs-1,T12,PV,0,shoot,1
T12-PVshoot-noAs-2,T12,PV,0,shoot,2
T12-PVshoot-noAs-3,T12,PV,0,shoot,3
T12-Soil-25-3repeat,T12,Soil,25,soil,4
T12-Soil-50-3repeat,T12,Soil,50,soil,4
T6-PEroot-25-2,T6,PE,25,root,2
T6-PEroot-25-5,T6,PE,25,root,5
T6-PEshoot-25-2,T6,PE,25,shoot,2
T6-PEshoot-25-3,T6,PE,25,shoot,3
T6-PEshoot-50-3,T6,PE,50,shoot,3
T6-PEshoot-50-4,T6,PE,50,shoot,4
T6-PEshoot-50-6,T6,PE,50,shoot,6
T6-PEshoot-noAs-1,T6,PE,0,shoot,1
T6-PEshoot-noAs-2,T6,PE,0,shoot,2
T6-PEshoot-noAs-3,T6,PE,0,shoot,3
T6-PEsoilB-noAs-1,T6,PE,0,soilB,1
T6-PEsoilB-noAs-2,T6,PE,0,soilB,2
T6-PEsoilB-noAs-3,T6,PE,0,soilB,3
T6-PVshoot-25-3,T6,PV,25,shoot,3
T6-PVshoot-50-1,T6,PV,50,shoot,1
T6-PVshoot-50-2,T6,PV,50,shoot,2
T6-PVshoot-50-4,T6,PV,50,shoot,4
T6-PVshoot-noAs-2,T6,PV,0,shoot,2
T6-PVshoot-noAs-3,T6,PV,0,shoot,3
T7-PEroot-noAs-1,T7,PE,0,root,1
T7-PEroot-noAs-3,T7,PE,0,root,3
T7-PEshoot-25-3,T7,PE,25,shoot,3
T7-PEshoot-25-4,T7,PE,25,shoot,4
T7-PEshoot-25-6,T7,PE,25,shoot,6
T7-PEshoot-50-1,T7,PE,50,shoot,1
T7-PEshoot-50-2,T7,PE,50,shoot,2
T7-PEshoot-50-3,T7,PE,50,shoot,3
T7-PEshoot-50-4,T7,PE,50,shoot,4
T7-PEshoot-50-6,T7,PE,50,shoot,6
T7-PEshoot-noAs-2,T7,PE,0,shoot,2
T7-PEshoot-noAs-3,T7,PE,0,shoot,3
