pathway	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
1CMET2-PWY	9375.388437834072	10757.874320358647	10170.160412250209	21128.07147881665	12147.102947723808	11429.665000908812	11094.224950164476	12870.262485376876	10585.867637362202	13955.899493630941	12415.654958905892	19890.051237479438	14320.097235770358	22409.879125630112	6827.747993914883	17873.47080194845	0.0	16487.757660662068	5353.549263033136	5597.66792115912	11272.104040024133	7758.180322526754	8025.248082429924	6999.381099544674	13842.056729435611	21067.49463311275
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	451.9729314871995	443.81343820167365	446.50489955595157	980.7422354599482	596.1546360747767	331.880397006202	508.1101368903622	623.2724350266726	793.9043798925494	796.8230349201148	1028.1852910663617	1143.4257548361118	744.3267304263264	1645.6168978099884	343.6430171236637	1585.7634733117607	0.0	911.7219420184203	268.2224983998705	461.6260828302711	746.0165375939449	582.6655520519658	436.54481613017305	432.9769021436154	503.65388941554954	1013.0652985424176
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.51932773109243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5990567706184047	0.0	0.0	0.0
ALL-CHORISMATE-PWY	4134.632287570086	4519.83571066145	3853.615132207346	9456.539285308389	5299.564343945472	5006.772800846962	4747.657094034196	5957.867396137673	4837.289418263018	5839.443642784322	6280.003687959739	7641.690215182744	5538.715477640953	10263.067166781333	2989.298850881775	8482.530417560927	0.0	3373.8533813827826	2898.457467876815	2292.302596692783	4442.320940024166	3776.3293748207047	3709.416346137034	3243.672110666835	5778.524720037958	8642.146787560116
ANAEROFRUCAT-PWY	8508.757348187652	10031.84348695651	10440.725535537124	21368.115954956706	12108.010815102656	11069.201719510243	10840.908350033056	12974.811622626723	9862.823140381968	12616.86152117352	11761.877865658598	17017.696810019796	12264.76484734008	22274.426367637723	6395.754955949222	18196.1043176923	0.0	16233.901602819897	5414.479674731975	5224.985478445252	10662.179503840198	7885.142681972558	7506.773416265224	6519.307743668913	11574.22801696896	18363.771443745256
ANAGLYCOLYSIS-PWY	12368.355329675316	13792.135799828366	13863.048290872852	26678.506409247224	16539.162281727287	14523.155315542845	14517.498021056108	16613.4780551471	14259.255910610636	17412.36233498672	16772.883830605966	25881.906190390644	18971.65664327832	29609.49361878766	8860.702795342599	24470.519487283636	0.0	20978.36155461154	7574.440118677165	7039.675132327105	13964.227160470653	10360.652506491771	10649.17107908084	9364.98895980635	17849.013450905626	27292.751011817923
ARG+POLYAMINE-SYN	5653.591423613354	6258.4800604270895	6188.414039762833	11539.884426629369	6875.745674947285	6317.799870893697	6236.720708010476	6927.688452935737	6576.348007261812	8373.661918279158	8298.05031410843	9800.26082796319	7158.402317489495	13579.418439729998	3824.3020850757075	10604.98895008077	0.0	9741.724452281846	3162.28469160062	3364.6085436982303	6732.705464781249	4789.2866556715335	4370.890491997368	4036.2824924906977	6833.217361000194	10407.447448703768
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	13.836788635739046	0.0	0.0	0.0	0.0	4.6374674341196735	0.0	0.0	0.0	0.0	0.0	0.9330527429893122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGORNPROST-PWY	1271.221761936668	1076.8783005521527	1009.7457360098391	2310.399876565263	1487.955038706694	1375.7401166589627	1612.6984449431714	1514.9597991624419	1609.5089078077579	1915.4284528040828	1959.2430358510373	2894.53418656143	2091.0387596922633	3504.8332744232007	516.1371689772463	2989.5239318933454	0.0	1876.3149128709952	473.9157629906771	774.2992779806624	1612.3238499344425	1025.2671029866617	1054.452306031998	847.1457850111466	1779.853078568629	3075.7716844112324
ARGSYN-PWY	9721.134048633268	10942.07679101596	11335.00709000797	23369.770442740162	13720.10838838308	11362.779194629176	12237.195450020738	14004.152088685441	11338.057260693366	14828.96610145608	14260.695162489461	19897.00953035665	14810.746529073924	23997.862665158213	7193.3970187410205	20034.59878665809	0.0	18615.241346867584	6057.0417551850205	5537.555527439306	11154.112621565358	8134.119436820741	8165.276913367442	7505.69827024281	13552.581189545717	21020.334059220775
ARGSYNBSUB-PWY	10078.559913076342	11259.41073026323	11954.628578144853	24785.809077966733	14556.43542861222	11616.173092991461	13122.434140537245	14863.60989608627	12102.020634694789	15810.628232825351	15272.272977966968	19378.83999361678	13989.150258001388	25907.58972592681	7760.593436730574	21493.068081968424	0.0	20596.625291478715	6504.720635384889	5965.122316105946	11533.21099690387	8469.00335226746	8638.156775283838	7894.434491619595	13794.602960579452	20407.174381953602
ARO-PWY	11286.642068538524	12645.53659728728	13055.902648163768	25961.899944380944	15543.573154507252	13282.91832283586	13791.31295466566	15815.423562305381	13261.343052560165	16595.039232249852	15929.784807359267	22512.157867573624	16465.69979255202	27994.62189605437	8442.105052049981	23040.597513713805	0.0	20865.070253303453	6944.310374145818	6634.7141136717455	13171.659969738146	9353.732026378557	9624.579211451794	8628.936501446802	15637.904785803772	23718.13685506479
ASPASN-PWY	4195.426300928128	4003.245265293143	6177.735445708385	10100.616755979428	6557.207998915621	4184.922984071592	5040.234873025027	5678.57379697944	4410.211863193985	5134.884208912534	5957.74704003447	6960.01572919252	5802.33748896091	10881.905283938375	3813.774751786127	9674.772188186644	0.0	6187.956818692247	3362.649855768145	2067.8436432366248	3532.055197288683	3026.5655894766564	3416.211165938025	2916.617921962091	4563.513932477637	6592.09788145675
AST-PWY	215.58801025584467	121.44451447196485	182.01473219546222	226.75397119579097	107.15062549345488	154.71232584975164	397.7533734268962	124.12032646234287	152.0345124791761	705.8721145525034	245.69439347562044	419.5496811148223	392.3382028991465	381.64371569838715	107.16472780945088	275.5762659269488	0.0	834.4189126019245	54.0180266991745	160.32056115892735	302.98712417865744	64.2315558473012	146.40648594975275	126.78616207191678	183.69615834694915	588.1841388275599
BENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	2.7651804154320447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.917373834572958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	5362.535497012637	6682.268763228463	5591.727545961994	11108.797247675016	5413.377430968493	7285.387901399759	5531.81045377484	6595.411900678182	4961.356761757647	6852.511339182883	5875.27468502332	9020.008700639679	6919.086627361086	12543.602789065335	3286.25739571649	9484.79392280186	0.0	12157.636383855572	2503.688456165329	3527.7422683627046	8249.005904546882	4841.479198550342	4518.812463989709	3876.417332092981	6006.287222703389	10731.943283439045
BRANCHED-CHAIN-AA-SYN-PWY	16025.947991546209	18089.02796389666	18002.969899780128	36796.27108413192	21845.432427716292	19049.22067127378	19231.693174564767	22655.690109196923	18757.547635472507	24112.061453005917	22343.98423144646	33720.873531538724	24627.337003166587	38645.4991213794	11654.901147161903	32000.06871402906	0.0	29625.110326724753	9863.243214149674	9246.327599065846	18617.461600244114	13524.006281984624	13715.440636535332	12487.772963770358	23198.018856916264	35747.54921238885
CALVIN-PWY	12014.515158235836	13416.397488800827	14029.533625370694	27357.055514985605	16464.824165809307	13988.522292270081	14439.984249053365	16973.348097969945	13940.416394067042	17138.582607426673	16387.95726304298	24708.216362149687	18034.322101020854	29189.2870971641	8894.915102260265	24294.429358461242	0.0	19955.267671970836	7514.236412151393	6780.066679632736	13717.18396715536	9772.36141307751	10183.408107489762	9129.870870710029	16733.158742171323	25938.20361787363
CATECHOL-ORTHO-CLEAVAGE-PWY	607.4922824077936	703.8790681627692	460.8715325043394	658.0436205081618	746.8035317956763	556.0789318740858	616.033010682587	656.3380945704348	679.2330896669289	771.502962612137	888.5108219678534	1255.8999028770604	965.554662837208	1524.4100408676243	241.98217381083361	1142.7019914838513	0.0	1591.0010775120168	129.63289315909282	462.04522891581803	760.238547459701	434.93422983399466	209.3547503970192	478.2335595104235	445.0519417266152	804.3378011936246
CENTBENZCOA-PWY	0.0	0.0	0.0	0.6530612244897959	0.0	19.5	0.0	0.0	13.5	0.0	0.0	0.0	0.0	2.0	0.0	26.0	0.0	0.0	20.0	6.5	2.0	0.0	15.5	0.0	0.0	0.0
CENTFERM-PWY	283.51592523204926	289.142435391905	196.2447528120239	780.5336574840574	314.48197181857796	542.912306854726	502.7832624004667	491.389692064081	440.0754912785124	814.3490587149549	421.5785949589678	521.7616163258755	387.98171986791954	1377.4299202231225	329.84869519857335	1504.8637881626241	0.0	868.3583807710573	244.41483625410544	376.4677375464452	645.828572959232	208.05751416343162	621.1196293897145	293.3668614064308	626.191518429939	1175.2980965564145
CHLOROPHYLL-SYN	1911.9909334962388	1721.4461793030562	4508.334593836341	6569.661125601445	4590.6469781919195	2165.452942968961	3086.3961293474767	3281.1296051903596	2115.98936718931	1679.7077145992375	2520.4745276620542	2260.8603929435308	1757.0098163167336	3272.6490588484985	1184.6010530668625	4816.666548901148	0.0	430.9828750562168	1845.245749861154	843.0950092164013	1345.3671524870215	1034.626526424025	1517.3650920254472	1196.4354601987523	1262.3431028276025	2099.9336680612882
COA-PWY	10579.572166489543	11906.62373799286	12197.294309175955	24407.714614193203	14593.363766169618	12636.401370730935	12890.550002158956	14771.115812648373	12432.078924682985	15490.108905823137	14792.478460351427	21684.858873526056	15770.811661017358	26251.120977716797	8036.071364740231	21483.22468038587	0.0	19640.10310831988	6530.780181707352	6151.962663596448	12356.591663392663	8706.19912831855	9147.967667806693	8128.3209218220245	15126.469326591921	23119.267272443398
COBALSYN-PWY	5436.62265129231	6139.367628210056	5942.529043350871	14938.176502881479	7388.285291183061	6268.2023018621285	7637.058841652934	9774.993765584217	7052.862910418389	8316.45449736437	8126.590668387164	9435.600437091087	6663.553431241466	12686.378813599897	3417.620153884187	11529.358676471624	0.0	10694.485994149378	3342.2609306073705	3521.9487351615962	6777.46392890876	4945.181027909743	4377.568776637241	3935.451027769048	7107.498163970443	10521.989643582017
CODH-PWY	557.3478027662075	638.4032022367064	90.20458865055662	463.3894781045083	112.02770560668237	403.95361493563286	547.2735596856827	480.2200652462846	186.55298941003278	363.47000260846886	232.7863142153871	546.9635582158534	456.57198092913836	486.46869356360475	94.23059820986303	380.0318726282092	0.0	0.0	185.56746814488764	281.2733448844423	396.38348273222135	150.08220517845703	289.4331297901048	176.6061116209861	229.5436017174353	228.86379922603655
COLANSYN-PWY	9198.45490250855	10178.809469951586	11000.725262712289	20706.57061205889	13109.735963539448	11007.385783482157	11131.792784512816	12698.223663766386	10874.048184803038	13210.75745282738	12653.356399780329	19004.227873797496	13975.529749736848	21692.399387043017	6819.648659148733	18211.024940486823	0.0	15389.596095807501	5933.331718080005	4948.853742911488	10034.249821060046	7379.210864582636	7833.126924450216	7343.027350005725	12770.109165611479	19889.525892921887
COMPLETE-ARO-PWY	11940.62853111994	13397.682216832007	13834.588643151343	27530.907822594956	16471.45769737671	14082.176686904773	14608.954980626133	16758.851945841565	14047.440949877513	17574.10860613056	16849.21982055087	23878.16786022155	17456.99516975812	29616.961601787523	8951.04237331156	24404.87761609826	0.0	22072.911173116536	7351.166695052911	7024.014992719351	13958.096937098928	9878.591555936013	10204.859382659242	9129.73200340763	16568.303928869587	25169.22882193795
CRNFORCAT-PWY	274.1321429144813	285.77347619459033	263.98517398487877	766.6495373024218	555.3750246597062	250.4362768522856	469.40168292883413	433.8413007314801	277.7982354153921	298.15229712618844	322.5238327232622	1091.6016081981925	667.5178231972283	3462.6289838683597	1167.7655967606893	2321.402473941958	0.0	482.6914711750508	289.9209329022283	300.2595700932345	595.4917930161386	254.53006599702917	231.28018341139025	273.8487922565038	283.52742084254385	456.6248194827455
DAPLYSINESYN-PWY	9300.620761695027	10670.145882657485	9802.157342693072	21686.894660833997	11955.967315554126	11402.584238524872	11203.475317917486	13340.042285410358	10911.459349673594	14812.583606106049	13471.97869001438	18334.848549386108	13536.069847797997	23651.368454794185	6781.281559185581	19245.738979965263	0.0	18463.057001195124	5483.680843885621	5543.407846152322	11358.314269812	8115.3580149779555	7912.313422117973	7040.916427086287	13134.66599561869	20134.595825710934
DENITRIFICATION-PWY	928.9800782458896	1027.4359115673092	898.0178795443805	1501.2810032850955	938.7658886840136	921.5073377011497	869.6773128492248	1115.4495583658645	1259.1013025862205	1106.3949000453729	936.6825774050976	1272.6633599007994	752.3690003037049	1993.423254659561	484.52964925076014	1664.6438411556721	0.0	1312.9551214951994	324.5436811340751	589.6460695124518	1535.0136227438597	749.4713840089834	856.4670181456477	711.5443496856643	1106.1771143400206	1607.9126166720434
DENOVOPURINE2-PWY	6353.262637789794	6721.956735417617	5017.8460158257285	10467.919103229066	6615.024823524479	7543.216774208876	6343.623759387287	8869.548498361688	7297.116310253334	9287.63667044316	7360.265387301915	10266.317970435426	8068.708098457771	10528.122765298023	2272.3836708900335	7724.791071010047	0.0	9270.163106230035	2759.6001238186177	2122.0330429840606	6590.267052094092	3672.999243203592	4884.102854246671	3905.2895415736084	5556.1913157641875	8128.920187785113
DHGLUCONATE-PYR-CAT-PWY	4.981599456081976	87.97851411022428	79.14233197579794	50.42563742547135	38.584297543613005	60.53492148238897	14.86401832742603	116.49402952012424	71.12758497621915	87.11137381574255	58.41926844522321	218.57004189354015	254.9405743959926	95.82809066640293	0.0	122.56334657196827	0.0	590.6870667772752	2.4842184960790457	9.45146114302657	80.29580363596914	2.4865652387820245	12.362144340010456	85.47351493209564	12.374272067825897	211.5042204562577
DTDPRHAMSYN-PWY	11627.354563440738	12895.851560168308	13094.456440875203	25216.82507367589	15749.426266247885	13218.242683773191	13964.850490044924	15936.473022410764	13746.379501170515	16695.150330312234	15870.196956550051	27643.331871844242	20611.24483525604	27483.457641942445	8077.106784571509	22547.07082657145	0.0	20521.877114253104	7574.3771442574	6666.564066857507	13304.411867852674	9264.774358603774	10314.885424700164	9449.1190436155	19201.87166830118	29185.272628166855
ECASYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42852019683593656	0.0	0.0	2.1417950901966	0.0	0.0	0.0	0.0	0.0
