Sample_ID,Timepoint,Fern type ,Arsenic concentration,Sample type ,Replicates 
T0_PVshoot_50_3,T0,PV ,50,shoot,3
T0_PVshoot_50_4,T0,PV ,50,shoot,4
T0_PEshoot_noAs_3,T0,PE,0,shoot,3
T0_PVroot_50 ppm_4,T0,PV ,50,root,4
T0_PVroot_50 ppm_3,T0,PV ,50,root,3
T0_PVshoot_noAs_1,T0,PV ,0,shoot,1
T0_PVshoot_noAs_2,T0,PV ,0,shoot,2
T0_PVshoot_noAs_3,T0,PV ,0,shoot,3
T0_PVroot_noAs_2,T0,PV ,0,root,2
T0_PEroot_noAs_3,T0,PE,0,root,3
T0_PEroot_noAs_2,T0,PE,0,root,2
T0_PEsoilR_noAs_1,T0,PE,0,soilR,1
T0_PEsoilR_noAs_2,T0,PE,0,soilR,2
T0_PEsoilR_noAs_3,T0,PE,0,soilR,3
T0_PEsoilB_noAs_2,T0,PE,0,soilB,2
T0_PEsoilB_noAs_3,T0,PE,0,soilB,3
T0_PVsoilB_50_1,T0,PV ,50,soilB,1
T0_PVsoilB_50_2,T0,PV ,50,soilB,2
T0_PVsoilB_50_3,T0,PV ,50,soilB,3
T0_Soil_50_1,T0,,50,soil,1
T0_Soil_50_2,T0,,50,soil,2
T0_Soil_50_3,T0,,50,soil,3
T0_Soil_25_1,T0,,25,soil,1
T0_Soil_25_2,T0,,25,soil,2
T0_Soil_25_3,T0,,25,soil,3
T0_PVsoilB_25_4,T0,PV ,25,soilB,4
T0_PVsoilB_25_5,T0,PV ,25,soilB,5
T0_PVsoilB_25_6,T0,PV ,25,soilB,6
T0_PVsoilR_25_1,T0,PV ,25,soilR,1
T0_PVsoilR_25_3,T0,PV ,25,soilR,3
T0_PVsoilR_25_6,T0,PV ,25,soilR,6
T0_PVsoilR_50_3,T0,PV ,50,soilR,3
T0_PVsoilR_50_4,T0,PV ,50,soilR,4
T0_PVsoilR_50_5,T0,PV ,50,soilR,5
T0_PVsoilR_noAs_1,T0,PV ,0,soilR,1
T0_PVsoilR_noAs_2,T0,PV ,0,soilR,2
T0_PVsoilR_noAs_3,T0,PV ,0,soilR,3
T0_PEsoilB_25_1,T0,PE,25,soilB,1
T0_PEsoilB_25_2,T0,PE,25,soilB,2
T0_PEsoilB_25_4,T0,PE,25,soilB,4
T0_PEshoot_50_1,T0,PE,50,shoot,1
T0_PEroot_50_4,T0,PE,50,root,4
T0_PEroot_50_5,T0,PE,50,root,5
T0_PVshoot_25_2,T0,PV ,25,shoot,2
T0_PVshoot_25_3,T0,PV ,25,shoot,3
T0_PVshoot_25_4,T0,PV ,25,shoot,4
T0_PVshoot_50_1,T0,PV ,50,shoot,1
T0_PVshoot_50_2,T0,PV ,50,shoot,2
T0_PVshoot_50_5,T0,PV ,50,shoot,5
T0_PVshoot_50_6,T0,PV ,50,shoot,6
T0_PEshoot_25_1,T0,PE,25,shoot,1
T0_PEshoot_25_2,T0,PE,25,shoot,2
T0_PEshoot_25_3,T0,PE,25,shoot,3
T0_PEshoot_50_2,T0,PE,50,shoot,2
T0_PEshoot_50_5,T0,PE,50,shoot,5
T0_PEshoot_50_6,T0,PE,50,shoot,6
T0_PEshoot_noAs_1,T0,PE,0,shoot,1
T0_PEshoot_noAs_2,T0,PE,0,shoot,2
T0_PEshoot_noAs_0,T0,PE,0,shoot,0
T0_PVroot_25_2,T0,PV ,25,root,2
T0_PVroot_25_3,T0,PV ,25,root,3
T0_PVroot_25_4,T0,PV ,25,root,4
T0_PEroot_25_1,T0,PE,25,root,1
T0_PEroot_25_3,T0,PE,25,root,3
T0_PEroot_25_6,T0,PE,25,root,6
T0_PEroot_50_2,T0,PE,50,root,2
T0_PEroot_50_6,T0,PE,50,root,6
T0_PVroot_noAs_1,T0,PV ,0,root,1
T0_PVroot_noAs_3,T0,PV ,0,root,3
T0_PEroot_noAs_1,T0,PE,0,root,1
T0_PVroot_50_1,T0,PV ,50,root,1
T0_PVroot_50_4,T0,PV ,50,root,4
T0_PVroot_50_5,T0,PV ,50,root,5
T0_PVshoot_25_6,T0,PV ,25,shoot,6
T0_PEshoot_25_5,T0,PE,25,shoot,5
T0_PEsoilB_25_5,T0,PE,25,soilB,5
T0_PVsoilB_noAs_1,T0,PV ,0,soilB,1
T0_PVsoilB_noAs_2,T0,PV ,0,soilB,2
T0_PVsoilB_noAs_3,T0,PV ,0,soilB,3
T0_PEsoilR_25_1,T0,PE,25,soilR,1
T0_PEsoilR_25_2,T0,PE,25,soilR,2
T0_PEsoilR_25_6,T0,PE,25,soilR,6
T0_PEsoilR_50_3,T0,PE,50,soilR,3
T0_PEsoilR_50_4,T0,PE,50,soilR,4
T0_PEsoilR_50_5,T0,PE,50,soilR,5
T0_PEsoilB_50_1,T0,PE,50,soilB,1
T0_PEsoilB_50_3,T0,PE,50,soilB,3
T0_PEsoilB_50_6,T0,PE,50,soilB,6
T6_PEsoilR_noAs_1,T6,PE,0,soilR,1
T6_PEsoilR_noAs_3,T6,PE,0,soilR,3
T6_NC_1,T6,,NC,soil,1
T6_NC_2,T6,,NC,soil,2
T6_NC_3,T6,,NC,soil,3
Blank_1,,,,,
Blank_2,,,,,
Blank_3,,,,,
T6_PVsoilR_noAs_1,T6,PV ,0,soilR,1
T6_PVsoilR_noAs_2,T6,PV ,0,soilR,2
T6_PVsoilR_noAs_3,T6,PV ,0,soilR,3
T6_Soil_50_1,T6,,50,soil,1
T6_Soil_50_2,T6,,50,soil,2
T6_Soil_50_3,T6,,50,soil,3
T6_Soil_25_1,T6,,25,soil,1
T6_Soil_25_2,T6,,25,soil,2
T6_Soil_25_3,T6,,25,soil,3
T6_PEsoilB_noAs_1,T6,PE,0,soilB,1
T6_PEsoilB_noAs_2,T6,PE,0,soilB,2
T6_PEsoilB_noAs_3,T6,PE,0,soilB,3
T6_PVsoilB_noAs_1,T6,PV ,0,soilB,1
T6_PVsoilB_noAs_2,T6,PV ,0,soilB,2
T6_PVsoilB_noAs_3,T6,PV ,0,soilB,3
T6_PEsoilR_25_1,T6,PE,25,soilR,1
T6_PEsoilR_25_3,T6,PE,25,soilR,3
T6_PEsoilR_25_6,T6,PE,25,soilR,6
T6_PVsoilR_25_2,T6,PV ,25,soilR,2
T6_PVsoilR_25_4,T6,PV ,25,soilR,4
T6_PVsoilR_25_5,T6,PV ,25,soilR,5
T6_PVsoilR_50_3,T6,PV ,50,soilR,3
T6_PVsoilR_50_5,T6,PV ,50,soilR,5
T6_PVsoilR_50_6,T6,PV ,50,soilR,6
T6_PEsoilR_50_1,T6,PE,50,soilR,1
T6_PEsoilR_50_3,T6,PE,50,soilR,3
T6_PEsoilR_50_6,T6,PE,50,soilR,6
T6_PVsoilB_50_1,T6,PV ,50,soilB,1
T6_PVsoilB_50_4,T6,PV ,50,soilB,4
T6_PVsoilB_50_6,T6,PV ,50,soilB,6
T6_PVsoilB_25_2,T6,PV ,25,soilB,2
T6_PVsoilB_25_3,T6,PV ,25,soilB,3
T6_PVsoilB_25_5,T6,PV ,25,soilB,5
T6_PEsoilB_25_2,T6,PE,25,soilB,2
T6_PEsoilB_25_3,T6,PE,25,soilB,3
T6_PEsoilB_25_4,T6,PE,25,soilB,4
T6_PEsoilB_50_1,T6,PE,50,soilB,1
T6_PEsoilB_50_3,T6,PE,50,soilB,3
T6_PEsoilB_50_6,T6,PE,50,soilB,6
T6_PVshoot_noAs_1,T6,PV ,0,shoot,1
T6_PVshoot_noAs_2,T6,PV ,0,shoot,2
T6_PVshoot_noAs_3,T6,PV ,0,shoot,3
T6_PVroot_25_2,T6,PV ,25,root,2
T6_PVroot_25_4,T6,PV ,25,root,4
T6_PVroot_25_5,T6,PV ,25,root,5
T6_PVroot_50_2,T6,PV ,50,root,2
T6_PVroot_50_3,T6,PV ,50,root,3
T6_PVroot_50_4,T6,PV ,50,root,4
T6_PEroot_25_2,T6,PE,25,root,2
T6_PEroot_25_4,T6,PE,25,root,4
T6_PEroot_25_5,T6,PE,25,root,5
T6_PEroot_50_1,T6,PE,50,root,1
T6_PEroot_50_5,T6,PE,50,root,5
T6_PEroot_50_6,T6,PE,50,root,6
T6_PVroot_noAs_1,T6,PV ,0,root,1
T6_PVroot_noAs_2,T6,PV ,0,root,2
T6_PVroot_noAs_3,T6,PV ,0,root,3
T6_PEroot_noAs_1,T6,PE,0,root,1
T6_PEroot_noAs_2,T6,PE,0,root,2
T6_PEroot_noAs_3,T6,PE,0,root,3
T6_PEshoot_noAs_1,T6,PE,0,shoot,1
T6_PEshoot_noAs_2,T6,PE,0,shoot,2
T6_PEshoot_noAs_3,T6,PE,0,shoot,3
T6_PVshoot_25_1,T6,PV ,25,shoot,1
